rank,rankChange,symbolCode,shortCode,code,name,isNew,tradePrice,change,changePrice,changeRate,signedChangeRate,accTradeVolume,accTradePrice,chartSlideImage,boardUrl
1,0,A035720,A035720,KR7035720002,카카오,False,39150,RISE,1100,0.0289093298,0.0289093298,1443997,55818626900,,https://finance.daum.net/quotes/A035720#talks
2,0,A005930,A005930,KR7005930003,삼성전자,False,55900,RISE,1500,0.0275735294,0.0275735294,18846031,1048367394900,,https://finance.daum.net/quotes/A005930#talks
3,0,A006980,A006980,KR7006980007,우성,True,14900,FALL,-220,-0.0145502646,-0.0145502646,1209,18163890,,https://finance.daum.net/quotes/A006980#talks
4,0,A000660,A000660,KR7000660001,SK하이닉스,False,199800,RISE,17900,0.0984057174,0.0984057174,7248856,1400870631100,,https://finance.daum.net/quotes/A000660#talks
5,0,A160550,A160550,KR7160550000,NEW,True,2225,RISE,35,0.0159817352,0.0159817352,31940,70660780,,https://finance.daum.net/quotes/A160550#talks
6,0,A290550,A290550,KR7290550003,디케이티,True,8230,RISE,230,0.02875,0.02875,63413,521839900,,https://finance.daum.net/quotes/A290550#talks
7,0,A225530,A225530,KR7225530005,보광산업,True,5010,FALL,-90,-0.0176470588,-0.0176470588,166775,839909970,,https://finance.daum.net/quotes/A225530#talks
8,0,A151860,A151860,KR7151860004,KG에코솔루션,True,5060,RISE,115,0.023255814,0.023255814,91921,465707840,,https://finance.daum.net/quotes/A151860#talks
9,0,A010130,A010130,KR7010130003,고려아연,True,931000,FALL,-17000,-0.0179324895,-0.0179324895,41604,38764122000,,https://finance.daum.net/quotes/A010130#talks
10,0,A042700,A042700,KR7042700005,한미반도체,True,99500,RISE,6200,0.0664523044,0.0664523044,1698278,167408082400,,https://finance.daum.net/quotes/A042700#talks
